Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Steven Montez",COL,399,258,64.7,"2,849",7.1,19,4.8,9,2.3,89t,30,184,135.8,Passing
"Jarrett Stidham",AUB,369,224,60.7,"2,794",7.6,18,4.9,5,1.4,76t,23,168,137.7,Passing
"Jake Fromm",UGA,307,207,67.4,"2,761",9.0,30,9.8,6,2.0,75t,16,94,171.3,Passing
"Deondre Francois",FSU,396,227,57.3,"2,731",6.9,15,3.8,12,3.0,78t,29,181,121.7,Passing
"James Morgan",FIU,326,213,65.3,"2,727",8.4,26,8.0,7,2.1,76t,9,70,157.6,Passing
"Ryan Willis",VT,364,213,58.5,"2,716",7.5,24,6.6,9,2.5,67t,22,151,138.0,Passing
"Blake Barnett",USF,350,214,61.1,"2,704",7.7,12,3.4,11,3.1,75t,29,142,131.1,Passing
"Bryce Perkins",UVA,349,225,64.5,"2,680",7.7,25,7.2,9,2.6,86t,31,197,147.5,Passing
"Daniel Jones",DUKE,392,237,60.5,"2,674",6.8,22,5.6,9,2.3,85t,28,172,131.7,Passing
"JT Daniels",USC,363,216,59.5,"2,672",7.4,14,3.9,10,2.8,65t,25,189,128.6,Passing
"McKenzie Milton",UCF,289,171,59.2,"2,663",9.2,25,8.7,6,2.1,75t,9,62,161.0,Passing
"Jarret Doege",BGSU,389,242,62.2,"2,660",6.8,27,6.9,12,3.1,76t,29,222,136.4,Passing
"Alan Bowman",TTU,327,227,69.4,"2,638",8.1,17,5.2,7,2.1,66t,8,86,150.1,Passing
"Ian Book",ND,314,214,68.2,"2,628",8.4,19,6.1,7,2.2,66,18,97,154.0,Passing
"Shea Patterson",MICH,326,210,64.4,"2,600",8.0,22,6.7,7,2.1,79t,21,145,149.4,Passing
"Ben Hicks",SMU,372,208,55.9,"2,582",6.9,19,5.1,7,1.9,71t,28,227,127.3,Passing
"Josh Adkins",NMST,393,222,56.5,"2,563",6.5,13,3.3,9,2.3,60t,26,147,117.6,Passing
"Anthony Russo",TEM,345,198,57.4,"2,563",7.4,14,4.1,14,4.1,70t,14,84,125.1,Passing
"Gus Ragland",MIOH,371,226,60.9,"2,547",6.9,17,4.6,5,1.3,59t,19,89,131.0,Passing
"Chris Robison",FAU,304,192,63.2,"2,533",8.3,12,3.9,12,3.9,75t,9,53,138.3,Passing
"Trace McSorley",PSU,361,192,53.2,"2,530",7.0,18,5.0,7,1.9,93t,27,163,124.6,Passing
"Khalil Tate",ARIZ,302,170,56.3,"2,530",8.4,26,8.6,8,2.6,75t,14,108,149.8,Passing
"Isaiah Green",MRSH,330,187,56.7,"2,459",7.5,15,4.5,10,3.0,82t,9,48,128.2,Passing
"Feleipe Franks",FLA,322,188,58.4,"2,457",7.6,24,7.5,6,1.9,65t,15,97,143.3,Passing
"Desmond Ridder",CINN,311,194,62.4,"2,445",7.9,20,6.4,5,1.6,77t,20,141,146.4,Passing
"Nathan Rourke",OHIO,274,164,59.9,"2,434",8.9,23,8.4,8,2.9,76t,19,143,156.3,Passing
"Adrian Martinez",NEB,325,209,64.3,"2,404",7.4,15,4.6,7,2.2,75t,21,144,137.4,Passing
"Jack Abraham",USM,305,223,73.1,"2,347",7.7,15,4.9,10,3.3,75t,24,174,147.4,Passing
"Woody Barrett",KENT,390,229,58.7,"2,339",6.0,11,2.8,9,2.3,75t,41,227,113.8,Passing
"Kato Nelson",AKR,342,178,52.0,"2,329",6.8,15,4.4,8,2.3,56,31,199,119.0,Passing
"Andre Nunez",LA,287,182,63.4,"2,272",7.9,20,7.0,12,4.2,64t,22,133,144.5,Passing
"K.J. Carta-Samuels",CSU,296,183,61.8,"2,261",7.6,19,6.4,9,3.0,69,17,122,141.1,Passing
"Brock Purdy",IAST,220,146,66.4,"2,250",10.2,16,7.3,7,3.2,83t,21,124,169.9,Passing
"Marcus Childers",NIU,397,234,58.9,"2,175",5.5,15,3.8,10,2.5,66t,40,300,112.4,Passing
"Nathan Elliott",UNC,325,201,61.8,"2,169",6.7,11,3.4,9,2.8,80,5,42,123.5,Passing
"Anthony Brown",BC,285,158,55.4,"2,121",7.4,20,7.0,9,3.2,71t,19,110,134.8,Passing
"Dan Ellington",GAST,292,174,59.6,"2,119",7.3,12,4.1,5,1.7,55,23,142,130.7,Passing
"Brian Lewerke",MSU,339,184,54.3,"2,040",6.0,8,2.4,11,3.2,40,19,137,106.1,Passing
"Zac Thomas",APST,254,159,62.6,"2,039",8.0,21,8.3,6,2.4,90t,14,78,152.6,Passing
"Jon Wassink",WMU,245,151,61.6,"1,994",8.1,16,6.5,6,2.4,84t,4,13,146.7,Passing
"Sam Hartman",WF,291,161,55.3,"1,984",6.8,16,5.5,8,2.7,54t,22,146,125.2,Passing
"Kenny Pickett",PITT,310,180,58.1,"1,969",6.4,12,3.9,6,1.9,78t,32,240,120.3,Passing
"Josh Love",SJSU,289,162,56.1,"1,963",6.8,14,4.8,9,3.1,70,18,122,122.9,Passing
"David Pindell",CONN,313,186,59.4,"1,962",6.3,19,6.1,13,4.2,80t,26,152,123.8,Passing
"Jawon Pass",LOU,300,162,54.0,"1,960",6.5,8,2.7,12,4.0,53,30,194,109.7,Passing
"Riley Neal",BALL,335,194,57.9,"1,917",5.7,11,3.3,4,1.2,52,14,97,114.4,Passing
"Jarrett Guarantano",TENN,246,153,62.2,"1,907",7.8,12,4.9,3,1.2,53,22,153,141.0,Passing
"Peyton Bender",KAN,321,183,57.0,"1,894",5.9,13,4.0,3,0.9,65t,23,177,118.1,Passing
"Terry Wilson",KY,268,180,67.2,"1,889",7.0,11,4.1,8,3.0,54t,29,175,133.9,Passing
"Tyler Wiegers",EMU,265,171,64.5,"1,887",7.1,11,4.2,3,1.1,75t,25,147,135.8,Passing
"Eli Peters",TOL,265,146,55.1,"1,837",6.9,18,6.8,7,2.6,80t,10,71,130.5,Passing
"Ross Comis",MASS,194,122,62.9,"1,799",9.3,14,7.2,3,1.5,89t,24,140,161.5,Passing
"Evan Orth",USA,222,145,65.3,"1,795",8.1,11,5.0,6,2.7,73t,14,87,144.2,Passing
"Tyler Huntley",UTAH,234,150,64.1,"1,788",7.6,12,5.1,6,2.6,68t,22,134,140.1,Passing
"Holton Ahlers",ECU,263,127,48.3,"1,785",6.8,12,4.6,3,1.1,80t,14,101,118.1,Passing
"Nick Fitzgerald",MSST,281,145,51.6,"1,767",6.3,16,5.7,9,3.2,84,25,178,116.8,Passing
"Sawyer Smith",TROY,230,144,62.6,"1,669",7.3,14,6.1,6,2.6,75t,12,68,138.4,Passing
"Jake Luton",ORST,224,140,62.5,"1,660",7.4,10,4.5,4,1.8,63t,16,135,135.9,Passing
"Ryan Agnew",SDSU,223,115,51.6,"1,651",7.4,10,4.5,6,2.7,70t,23,146,123.2,Passing
"Reid Herring",ECU,288,154,53.5,"1,607",5.6,6,2.1,10,3.5,47,10,86,100.3,Passing
